model,unfairness_metric,iteration,unfairness,,auc,,unfairness_weight,unfairness_scaled,auc_scaled,protected_column_selected_prop
LogisticRegression,overall_accuracy_equality,44,0.030037979,0.360019359,0.540025354,0.857234708,0,0.360019359,0.857234708,0.5
LogisticRegression,overall_accuracy_equality,45,0.030376738,0.466306802,0.539804117,0.690880035,0,0.466306802,0.690880035,0.5
LogisticRegression,overall_accuracy_equality,46,0.030101485,0.379944485,0.540001754,0.839489292,0,0.379944485,0.839489292,0.25
LogisticRegression,overall_accuracy_equality,47,0.030912002,0.634248818,0.540023227,0.855635651,0,0.634248818,0.855635651,0.5
LogisticRegression,overall_accuracy_equality,48,0.02994859,0.331972812,0.539803428,0.690362144,0,0.331972812,0.690362144,0.5
LogisticRegression,overall_accuracy_equality,49,0.030199399,0.410665712,0.539821863,0.704223884,0,0.410665712,0.704223884,0.5
LogisticRegression,overall_accuracy_equality,50,0.030044399,0.362033701,0.540041004,0.869002347,0,0.362033701,0.869002347,0.25
LogisticRegression,overall_accuracy_equality,51,0.030912043,0.634261546,0.539857305,0.730873458,0,0.634261546,0.730873458,0.25
LogisticRegression,overall_accuracy_equality,52,0.029579525,0.216176878,0.539726178,0.632275412,0,0.216176878,0.632275412,0.75
LogisticRegression,overall_accuracy_equality,53,0.030161045,0.398632012,0.540009276,0.845144897,0,0.398632012,0.845144897,0
LogisticRegression,overall_accuracy_equality,54,0.029694314,0.252192489,0.53966766,0.588273604,0,0.252192489,0.588273604,0.5
LogisticRegression,overall_accuracy_equality,55,0.030554458,0.522067263,0.539588418,0.528688996,0,0.522067263,0.528688996,0.5
LogisticRegression,overall_accuracy_equality,56,0.02955281,0.207794718,0.540014894,0.849369692,0,0.207794718,0.849369692,0.25
LogisticRegression,overall_accuracy_equality,57,0.030148845,0.394804043,0.539612838,0.547051194,0,0.394804043,0.547051194,0.5
LogisticRegression,overall_accuracy_equality,58,0.030053177,0.364787689,0.539831554,0.711510338,0,0.364787689,0.711510338,0.25
LogisticRegression,overall_accuracy_equality,59,0.030077646,0.372464939,0.539510807,0.470331418,0,0.372464939,0.470331418,0.75
LogisticRegression,overall_accuracy_equality,60,0.029740607,0.26671711,0.540036469,0.865592578,0,0.26671711,0.865592578,0.25
LogisticRegression,overall_accuracy_equality,61,0.029690941,0.251134106,0.539982883,0.825299194,0,0.251134106,0.825299194,0.5
LogisticRegression,overall_accuracy_equality,62,0.029922389,0.32375238,0.539997309,0.836147063,0,0.32375238,0.836147063,0.25
LogisticRegression,overall_accuracy_equality,63,0.030133322,0.389933736,0.539975296,0.819594729,0,0.389933736,0.819594729,0.5
LogisticRegression,overall_accuracy_equality,64,0.029686141,0.249628264,0.539625492,0.556566027,0,0.249628264,0.556566027,0.5
LogisticRegression,overall_accuracy_equality,65,0.030354061,0.459191871,0.539519046,0.476525963,0,0.459191871,0.476525963,0.5
LogisticRegression,overall_accuracy_equality,66,0.030376059,0.466093591,0.540054704,0.879303613,0,0.466093591,0.879303613,0.25
LogisticRegression,overall_accuracy_equality,67,0.030042352,0.361391184,0.539650402,0.575296845,0,0.361391184,0.575296845,0.25
LogisticRegression,overall_accuracy_equality,68,0.030079646,0.373092481,0.54012614,0.933018426,0,0.373092481,0.933018426,0.25
LogisticRegression,overall_accuracy_equality,69,0.029941163,0.329642596,0.539991223,0.831570238,0,0.329642596,0.831570238,0.25
LogisticRegression,overall_accuracy_equality,70,0.029695817,0.252664095,0.540003104,0.840504027,0,0.252664095,0.840504027,0.25
LogisticRegression,overall_accuracy_equality,71,0.029376648,0.15252311,0.540175434,0.970084593,0,0.15252311,0.970084593,0.25
LogisticRegression,overall_accuracy_equality,72,0.030309704,0.445274504,0.539939498,0.792677314,0,0.445274504,0.792677314,0.5
LogisticRegression,overall_accuracy_equality,73,0.029796643,0.284298895,0.539534478,0.488130404,0,0.284298895,0.488130404,0.25
